"","Year","GEOID","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10","DistrictID","District","Grade","Total_Meeting_Standard","Share_Meeting_Standard","Level","Test"
"197","2002","5303570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6098,"Hockinson School District",7,93,48.89,2.37,"WASL"
"198","2002","5303600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23404,"Hood Canal School District",7,10,26.3,1.71,"WASL"
"199","2002","5303660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14028,"Hoquiam School District",7,51,28.8,1.8,"WASL"
"200","2002","5303720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31063,"Index School District",7,0,NA,NA,"WASL"
"201","2002","5303750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17411,"Issaquah School District",7,623,54.445,2.5475,"WASL"
"202","2002","5303780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11056,"Kahlotus School District",7,0,NA,NA,"WASL"
"203","2002","5303810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8402,"Kalama School District",7,23,29.39,1.88,"WASL"
"204","2002","5303930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3017,"Kennewick School District",7,228,28.83333333,1.856666667,"WASL"
"205","2002","5303960","26","26212 106TH PL SE","KENT","WA","98030","LIHTC",104,"107","53","03960","Kent School District",17415,"Kent School District",7,712,33.44625,1.96625,"WASL"
"206","2002","5303990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33212,"Kettle Falls School District",7,16,29.6,1.9,"WASL"
"207","2002","5304020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3052,"Kiona-Benton City School District",7,22,15.4,1.5,"WASL"
"208","2002","5304050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19403,"Kittitas School District",7,13,34.2,2.07,"WASL"
"209","2002","5304080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20402,"Klickitat School District",7,0,NA,NA,"WASL"
"210","2002","5304110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29311,"La Conner School District",7,11,23.39,1.82,"WASL"
"211","2002","5304150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38126,"LaCrosse School District",7,3,25,1.83,"WASL"
"212","2002","5304170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6101,"La Center School District",7,24,22.39,1.75,"WASL"
"213","2002","5304200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004,"Lake Stevens School District",7,165,22.76333333,1.636666667,"WASL"
"214","2002","5304230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17414,"Lake Washington School District",7,866,53.86333333,2.503333333,"WASL"
"215","2002","5304260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31306,"Lakewood School District",7,50,23.6,1.7,"WASL"
"216","2002","5304290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38264,"Lamont School District",7,6,46.1,2.22,"WASL"
"217","2002","5304380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32362,"Liberty School District",7,13,25.39,1.88,"WASL"
"218","2002","5304410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,"Lind School District",7,6,25,1.79,"WASL"
"219","2002","5304470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,"Longview School District",7,136,23.645,1.69,"WASL"
"220","2002","5304530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28144,"Lopez School District",7,7,38.79,2,"WASL"
"221","2002","5304560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17407,"Riverview School District",7,0,NA,NA,"WASL"
"222","2002","5304590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20406,"Lyle School District",7,2,6,1.24,"WASL"
"223","2002","5304620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37504,"Lynden School District",7,97,48.5,2.39,"WASL"
"224","2002","5304650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39120,"Mabton School District",7,4,5.9,1.25,"WASL"
"225","2002","5304710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9207,"Mansfield School District",7,0,NA,NA,"WASL"
"226","2002","5304740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4019,"Manson School District",7,9,18.69,1.56,"WASL"
"227","2002","5304800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23311,"Mary M Knight School District",7,1,8.3,1.41,"WASL"
"228","2002","5304830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33207,"Mary Walker School District",7,17,36.89,1.93,"WASL"
"229","2002","5304860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31025,"Marysville School District",7,232,32.36666667,1.953333333,"WASL"
"230","2002","5304890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14065,"McCleary School District",7,6,23,1.68,"WASL"
"231","2002","5304920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32354,"Mead School District",7,141,42.7,2.2,"WASL"
"232","2002","5304950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32326,"Medical Lake School District",7,60,34.39,2.04,"WASL"
"233","2002","5304980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17400,"Mercer Island School District",7,261,72.2,3.03,"WASL"
"234","2002","5305010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37505,"Meridian School District",7,30,24.1,1.75,"WASL"
"235","2002","5305020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24350,"Methow Valley School District",7,20,35.7,1.99,"WASL"
"236","2002","5305040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30031,"Mill A School District",7,2,14.19,1.35,"WASL"
"237","2002","5305130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31103,"Monroe School District",7,134,27.4,1.785,"WASL"
"238","2002","5305160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14066,"Montesano School District",7,26,21.39,1.65,"WASL"
"239","2002","5305190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21214,"Morton School District",7,7,18.39,1.55,"WASL"
"240","2002","5305220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13161,"Moses Lake School District",7,113,24.3,1.68,"WASL"
"241","2002","5305250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21206,"Mossyrock School District",7,12,26.6,1.73,"WASL"
"242","2002","5305280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39209,"Mount Adams School District",7,4,5.09,1.08,"WASL"
"243","2002","5305310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37507,"Mount Baker School District",7,51,26.69,1.78,"WASL"
"244","2002","5305370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39090,"East Valley School District (Yakima)",7,38,19.39,1.59,"WASL"
"245","2002","5305400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29320,"Mount Vernon School District",7,80,21.75,1.59,"WASL"
"246","2002","5305430","23","900 W CASINO RD","EVERETT","WA","98204","LIHTC",198,"150","53","05430","Mukilteo School District",31006,"Mukilteo School District",7,322,38.89666667,2.13,"WASL"
"247","2002","5305460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39003,"Naches Valley School District",7,34,24.6,1.68,"WASL"
"248","2002","5305490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21014,"Napavine School District",7,19,32.7,1.99,"WASL"
"249","2002","5305520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25155,"Naselle-Grays River Valley School District",7,15,46.79,2.53,"WASL"
"250","2002","5305550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24014,"Nespelem School District",7,0,NA,NA,"WASL"
"251","2002","5305610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26056,"Newport School District",7,23,23.39,1.73,"WASL"
"252","2002","5305640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32325,"Nine Mile Falls School District",7,48,34.7,2.03,"WASL"
"253","2002","5305670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37506,"Nooksack Valley School District",7,63,41.39,2.24,"WASL"
"254","2002","5305700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14064,"North Beach School District",7,4,10,1.4,"WASL"
"255","2002","5305730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11051,"North Franklin School District",7,37,27.19,1.75,"WASL"
"256","2002","5305760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18400,"North Kitsap School District",7,151,30.8,1.935,"WASL"
"257","2002","5305790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23403,"North Mason School District",7,56,30.1,1.89,"WASL"
"258","2002","5305820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,"North River School District",7,0,NA,NA,"WASL"
