"","GEOID","Year","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10"
"149","5302010","2008","384","516 ROSS ST","DAVENPORT","WA","99122","LIHTC",15,"55","53","02010","Davenport School District"
"150","5302040","2000","91","700 S FIFTH ST","DAYTON","WA","99328","LIHTC",26,"56","53","02040","Dayton School District"
"151","5302280","2006","223","2820 N CHERRY ST","SPOKANE VALLEY","WA","99216","LIHTC",288,"60","53","02280","East Valley School District (Spokane)"
"152","5302310","2007","447","2017 NW CASCADE AVE","EAST WENATCHEE","WA","98802","LIHTC",26,"62","53","02310","Eastmont School District"
"153","5302400","2005","121","22707 76TH AVE W","EDMONDS","WA","98026","LIHTC",94,"65","53","02400","Edmonds School District"
"154","5302400","2008","170","303 HOWELL WAY","EDMONDS","WA","98020","LIHTC",88,"65","53","02400","Edmonds School District"
"155","5302400","2003","354","18420 36TH AVE W","LYNNWOOD","WA","98037","LIHTC",130,"65","53","02400","Edmonds School District"
"156","5302400","2014","503","4807 200TH ST SW","LYNNWOOD","WA","98036","LIHTC",118,"65","53","02400","Edmonds School District"
"157","5302400","2004","505","19924 SCRIBER LAKE RD","LYNNWOOD","WA","98036","LIHTC",25,"65","53","02400","Edmonds School District"
"158","5302460","2011","174","401 E CHERRY LN","ELLENSBURG","WA","98926","LIHTC",95,"66","53","02460","Ellensburg School District"
"159","5302460","2008","317","2000 N ALDER ST","ELLENSBURG","WA","98926","LIHTC",168,"66","53","02460","Ellensburg School District"
"160","5302490","2004","99","309 E MARTIN ST","ELMA","WA","98541","LIHTC",36,"67","53","02490","Elma School District"
"161","5300001","2008","234","739 WATSON ST N","ENUMCLAW","WA","98022","LIHTC",42,"70","53","00001","Enumclaw School District"
"162","5302610","2002","41","1120 THIRD AVE NE","EPHRATA","WA","98823","LIHTC",25,"71","53","02610","Ephrata School District"
"163","5302610","2007","231","340 E ST NE","EPHRATA","WA","98823","LIHTC",27,"71","53","02610","Ephrata School District"
"164","5302610","2007","453","318 E ST NE","EPHRATA","WA","98823","LIHTC",30,"71","53","02610","Ephrata School District"
"165","5302670","2001","0","2703 12TH ST","EVERETT","WA","98201","LIHTC",80,"73","53","02670","Everett School District"
"166","5302670","2000","15","1115 RAINIER AVE","EVERETT","WA","98201","LIHTC",51,"73","53","02670","Everett School District"
"167","5302670","2000","17","3125 OAKES AVE","EVERETT","WA","98201","LIHTC",20,"73","53","02670","Everett School District"
"168","5302670","2001","48","3029 132ND ST SE","EVERETT","WA","98208","LIHTC",193,"73","53","02670","Everett School District"
"169","5302670","2001","60","1300 100TH PL SE","EVERETT","WA","98208","LIHTC",248,"73","53","02670","Everett School District"
"170","5302670","2000","79","1131 RAINIER AVE","EVERETT","WA","98201","LIHTC",50,"73","53","02670","Everett School District"
"171","5302670","2004","105","13510 N CREEK DR","MILL CREEK","WA","98012","LIHTC",263,"73","53","02670","Everett School District"
"172","5302670","2004","179","5902 EVERGREEN WAY","EVERETT","WA","98203","LIHTC",12,"73","53","02670","Everett School District"
"173","5302670","2014","191","1120 RAINIER AVE","EVERETT","WA","98201","LIHTC",20,"73","53","02670","Everett School District"
"174","5302670","2007","283","2507 HOWARD AVE","EVERETT","WA","98203","LIHTC",25,"73","53","02670","Everett School District"
"175","5302670","2012","365","3020 BROADWAY","EVERETT","WA","98201","LIHTC",190,"73","53","02670","Everett School District"
"176","5302670","2010","402","2917 HOYT AVE","EVERETT","WA","98201","LIHTC",40,"73","53","02670","Everett School District"
"177","5302670","2014","489","17716 BOTHELL EVERETT HWY","BOTHELL","WA","98012","LIHTC",228,"73","53","02670","Everett School District"
"178","5302670","2006","518","1001 E MARINE VIEW DR","EVERETT","WA","98201","LIHTC",259,"73","53","02670","Everett School District"
"179","5302670","2014","533","10110 19TH AVE SE","EVERETT","WA","98208","LIHTC",150,"73","53","02670","Everett School District"
"180","5302670","2014","534","1818 PACIFIC AVE","EVERETT","WA","98201","LIHTC",120,"73","53","02670","Everett School District"
"181","5302700","2000","18","5701 NE 102ND AVE","VANCOUVER","WA","98662","LIHTC",80,"74","53","02700","Evergreen School District (Clark)"
"182","5302700","2000","86","9703 NE COVINGTON RD","VANCOUVER","WA","98662","LIHTC",40,"74","53","02700","Evergreen School District (Clark)"
"183","5302700","2005","324","9500 NE 73RD ST","VANCOUVER","WA","98662","LIHTC",24,"74","53","02700","Evergreen School District (Clark)"
"184","5302700","2002","351","15911 SE MILL PLAIN BLVD","VANCOUVER","WA","98684","LIHTC",24,"74","53","02700","Evergreen School District (Clark)"
"185","5302700","2004","399","701 SE 139TH AVE","VANCOUVER","WA","98683","LIHTC",129,"74","53","02700","Evergreen School District (Clark)"
"186","5302700","2003","437","9600 NE 73RD ST","VANCOUVER","WA","98662","LIHTC",50,"74","53","02700","Evergreen School District (Clark)"
"187","5302820","2002","20","1001 S 336TH ST","FEDERAL WAY","WA","98003","LIHTC",50,"76","53","02820","Federal Way School District"
"188","5302820","2002","77","28120 18TH AVE S","FEDERAL WAY","WA","98003","LIHTC",194,"76","53","02820","Federal Way School District"
"189","5302820","2005","125","27912 PACIFIC HWY S","FEDERAL WAY","WA","98003","LIHTC",246,"76","53","02820","Federal Way School District"
"190","5302820","2007","254","31524 28TH AVE S","FEDERAL WAY","WA","98003","LIHTC",23,"76","53","02820","Federal Way School District"
"191","5302820","2003","266","2206 SW 334TH PL","FEDERAL WAY","WA","98023","LIHTC",208,"76","53","02820","Federal Way School District"
"192","5302820","2005","302","28620 PACIFIC HWY S","FEDERAL WAY","WA","98003","LIHTC",76,"76","53","02820","Federal Way School District"
"193","5302820","2008","312","27830 PACIFIC HWY S","FEDERAL WAY","WA","98003","LIHTC",112,"76","53","02820","Federal Way School District"
"194","5302820","2009","388","25815 27TH PL S","KENT","WA","0","LIHTC",150,"76","53","02820","Federal Way School District"
"195","5302820","2010","405","31635 23RD AVE S","FEDERAL WAY","WA","98003","LIHTC",62,"76","53","02820","Federal Way School District"
"196","5302820","2014","464","35703 16TH AVE S","FEDERAL WAY","WA","98003","LIHTC",293,"76","53","02820","Federal Way School District"
"197","5302820","2006","538","28621 25TH PL S","FEDERAL WAY","WA","98003","LIHTC",85,"76","53","02820","Federal Way School District"
"198","5302850","2002","76","2828 KWINA RD","BELLINGHAM","WA","98226","LIHTC",24,"77","53","02850","Ferndale School District"
"199","5302880","2007","226","1410 62ND AVE E","FIFE","WA","98424","LIHTC",50,"78","53","02880","Fife Public Schools"
"200","5302880","2006","532","2390 MILTON WAY","MILTON","WA","98354","LIHTC",29,"78","53","02880","Fife Public Schools"
"201","5302940","2006","530","1756 106TH ST S","TACOMA","WA","98444","LIHTC",39,"80","53","02940","Franklin Pierce School District"
"202","5303150","2001","1","810 GRANDRIDGE RD","GRANDVIEW","WA","98930","LIHTC",24,"86","53","03150","Grandview School District"
"203","5303150","2004","104","1181 GRANDRIDGE RD","GRANDVIEW","WA","98930","LIHTC",25,"86","53","03150","Grandview School District"
"204","5303150","2005","419","129 PLEASANT AVE","GRANDVIEW","WA","98930","LIHTC",26,"86","53","03150","Grandview School District"
"205","5303180","2001","53","409 D ST","GRANGER","WA","98932","LIHTC",26,"87","53","03180","Granger School District"
"206","5303210","2009","153","605 S KENTUCKY AVE","GRANITE FALLS","WA","98252","LIHTC",20,"88","53","03210","Granite Falls School District"
"207","5303540","2001","57","22620 28TH AVE S","DES MOINES","WA","98198","LIHTC",27,"95","53","03540","Highline School District"
"208","5303540","2011","116","1318 SW 100TH ST","SEATTLE","WA","98146","LIHTC",30,"95","53","03540","Highline School District"
"209","5303540","2010","131","9963 THIRD LN SW","SEATTLE","WA","98106","LIHTC",91,"95","53","03540","Highline School District"
"210","5303540","2012","147","424 SW 111TH PL","SEATTLE","WA","98146","LIHTC",65,"95","53","03540","Highline School District"
"211","5303540","2007","285","9800 EIGHTH AVE SW","SEATTLE","WA","98106","LIHTC",90,"95","53","03540","Highline School District"
"212","5303540","2008","318","9800 EIGHTH AVE SW","SEATTLE","WA","98106","LIHTC",81,"95","53","03540","Highline School District"
"213","5303540","2009","339","9800 EIGHTH AVE SW","SEATTLE","WA","98106","LIHTC",88,"95","53","03540","Highline School District"
"214","5303540","2011","343","9800 SIXTH PL SW","SEATTLE","WA","98106","LIHTC",24,"95","53","03540","Highline School District"
"215","5303540","2011","344","11464 FOURTH PL SW","SEATTLE","WA","98146","LIHTC",25,"95","53","03540","Highline School District"
"216","5303540","2013","370","411 SW 110TH LN","SEATTLE","WA","98146","LIHTC",87,"95","53","03540","Highline School District"
"217","5303540","2004","375","4010 S 188TH ST","SEATAC","WA","98188","LIHTC",80,"95","53","03540","Highline School District"
"218","5303540","2004","401","11844 26TH AVE S","SEATTLE","WA","98168","LIHTC",126,"95","53","03540","Highline School District"
"219","5303540","2003","435","11603 FIRST AVE S","SEATTLE","WA","98168","LIHTC",97,"95","53","03540","Highline School District"
