GEOID10,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Other,Sh_Other
5311506,2013,460,359,0.780434783,101,0.219565217,320,254,0.79375,66,0.25984252,85625.70353,1125,81,0.072,838,0.744888889,206,0.183111111
5311507,2013,414,353,0.852657005,61,0.147342995,297,239,0.804713805,58,0.242677824,75921.07068,1038,42,0.040462428,909,0.875722543,87,0.083815029
5311601,2013,633,495,0.781990521,138,0.218009479,290,249,0.85862069,41,0.164658635,100744.8964,1286,61,0.047433904,1067,0.82970451,158,0.122861586
5311602,2013,680,381,0.560294118,299,0.439705882,266,227,0.853383459,39,0.171806167,107146.4547,1290,53,0.041085271,950,0.736434109,287,0.22248062
5311603,2013,652,427,0.654907975,225,0.345092025,169,143,0.846153846,26,0.181818182,99110.40228,970,46,0.04742268,717,0.739175258,207,0.213402062
5311604,2013,502,318,0.633466135,184,0.366533865,213,160,0.751173709,53,0.33125,113097.9631,1018,65,0.063850688,648,0.63654224,305,0.299607073
5311605,2013,585,378,0.646153846,207,0.353846154,295,220,0.745762712,75,0.340909091,78845.99044,1232,90,0.073051948,697,0.565746753,445,0.361201299
5311606,2013,499,346,0.693386774,153,0.306613226,290,241,0.831034483,49,0.203319502,91278.08716,1108,78,0.070397112,805,0.726534296,225,0.203068592
5311607,2013,570,366,0.642105263,204,0.357894737,337,285,0.845697329,52,0.18245614,119450.0349,1259,67,0.053216839,889,0.706115965,303,0.240667196
5311608,2013,635,368,0.579527559,267,0.420472441,411,367,0.892944039,44,0.119891008,144401.127,1519,70,0.046082949,989,0.651086241,460,0.30283081
5311609,2013,503,367,0.729622266,136,0.270377734,373,332,0.890080429,41,0.123493976,157290.0396,1335,49,0.03670412,953,0.713857678,333,0.249438202
5311610,2013,474,328,0.691983122,146,0.308016878,278,201,0.723021583,77,0.383084577,87362.89352,1089,106,0.097337006,614,0.563820018,369,0.338842975
5311611,2013,519,313,0.603082852,206,0.396917148,294,206,0.700680272,88,0.427184466,70502.79393,1203,195,0.162094763,624,0.518703242,384,0.319201995
5311612,2013,437,290,0.663615561,147,0.336384439,245,181,0.73877551,64,0.35359116,78447.17585,980,117,0.119387755,586,0.597959184,277,0.282653061
5311613,2013,425,273,0.642352941,152,0.357647059,246,183,0.743902439,63,0.344262295,71430.79474,998,118,0.118236473,574,0.575150301,306,0.306613226
5311614,2013,472,343,0.726694915,129,0.273305085,300,228,0.76,72,0.315789474,71405.63953,1165,139,0.119313305,722,0.619742489,304,0.260944206
5311615,2013,458,389,0.849344978,69,0.150655022,342,285,0.833333333,57,0.2,99326.33941,1241,67,0.053988719,1023,0.824335214,151,0.121676068
5311616,2013,430,320,0.744186047,110,0.255813953,301,266,0.88372093,35,0.131578947,137468.4729,1086,38,0.034990792,915,0.842541436,133,0.122467772
5311701,2013,462,332,0.718614719,130,0.281385281,274,221,0.806569343,53,0.239819005,88423.3034,1032,91,0.088178295,740,0.717054264,201,0.194767442
5311702,2013,426,291,0.683098592,135,0.316901408,259,204,0.787644788,55,0.269607843,89740.71173,1000,48,0.048,656,0.656,296,0.296
5311703,2013,476,326,0.68487395,150,0.31512605,236,185,0.783898305,51,0.275675676,72472.50636,970,81,0.083505155,739,0.76185567,150,0.154639175
5311704,2013,431,316,0.733178654,115,0.266821346,321,274,0.853582555,47,0.171532847,114586.4678,1162,91,0.078313253,861,0.740963855,210,0.180722892
5311705,2013,574,447,0.778745645,127,0.221254355,358,290,0.810055866,68,0.234482759,83383.37143,1319,90,0.06823351,1115,0.845337377,114,0.086429113
5311706,2013,590,481,0.815254237,109,0.184745763,385,306,0.794805195,79,0.258169935,74683.09962,1377,91,0.066085694,1151,0.835875091,135,0.098039216
5311801,2013,718,572,0.796657382,146,0.203342618,437,365,0.835240275,72,0.197260274,85997.5127,1558,64,0.041078306,1222,0.784338896,272,0.174582798
5311802,2013,574,422,0.735191638,152,0.264808362,313,246,0.785942492,67,0.272357724,72448.61373,1205,53,0.043983402,978,0.811618257,174,0.14439834
5311900,2013,620,456,0.735483871,164,0.264516129,307,233,0.758957655,74,0.317596567,57802.64529,1105,47,0.042533937,891,0.806334842,167,0.151131222
5310100,2012,876,600,0.684931507,276,0.315068493,432,351,0.8125,81,0.1875,69104.37463,1743,122,0.069994263,1454,0.834193919,240,0.137693632
5310200,2012,1933,1414,0.731505432,519,0.268494568,1059,872,0.823418319,187,0.176581681,72916.93218,3662,254,0.069361005,3267,0.892135445,319,0.087110868
5310300,2012,532,355,0.667293233,177,0.332706767,304,257,0.845394737,47,0.154605263,66186.98832,1092,248,0.227106227,950,0.86996337,37,0.033882784
5310400,2012,877,613,0.698973774,264,0.301026226,463,354,0.764578834,109,0.235421166,49546.56825,1651,134,0.081162932,1324,0.801938219,296,0.179285282
5310501,2012,547,409,0.747714808,138,0.252285192,284,202,0.711267606,82,0.288732394,51447.81156,1159,66,0.056945643,1034,0.892148404,98,0.084555651
5310502,2012,645,449,0.696124031,196,0.303875969,276,211,0.764492754,65,0.235507246,68840.98004,1200,47,0.039166667,1049,0.874166667,131,0.109166667
5310503,2012,510,423,0.829411765,87,0.170588235,288,227,0.788194444,61,0.211805556,62300.85746,1123,40,0.035618878,1017,0.905609973,85,0.075690116
